High,Low,H_ssa,L_ssa
43854.7,43292.96,-1416.691080473484,-2814.9220538541363
44036.24,39977.15,183.3210030751153,-7039.256835992608
70000.0,9000.0,1490.7646210805929,-8480.506542190778
49356.24,40782.46,1066.3039147667084,-4914.100212284356
50000.0,42270.2,-266.9067645597885,-1281.1467857450514
49999.92,44780.28,-1209.4676838443297,197.61381608495358
50000.0,43907.3,-783.6778907614465,-413.7022091882143
48232.57,43907.3,-6.511743662957656,-1333.6140585052608
50000.0,40782.46,278.0262435849483,-1132.6987199310506
50000.0,43907.3,198.4716004629053,13.405489847992214
50000.0,46960.0,321.080360526132,986.0904709106237
50000.0,43907.3,573.972084087226,1201.590308336632
50000.0,43907.3,224.03468827554974,995.7212270126884
48168.23,47428.44,-439.66168233040986,819.694320749318
48168.23,47707.52,-730.6838641852866,769.5567452483073
48331.92,43975.63,-342.6375824878581,669.7021944847795
50000.0,43975.63,234.5183974763739,433.8037727009864
50000.0,43975.63,436.39527548162937,179.62761935954913
50000.0,41442.0,343.8544696562594,149.88778241310862
48371.7,43907.3,102.57991451237959,353.71495950156856
49000.0,43907.3,-110.5727433213451,410.9416247865771
47954.91,43907.3,-319.00477927836243,-60.2420252413186
48712.66,43907.3,-365.50767875737,-786.1049971101559
49000.0,43907.3,178.91670369534728,-792.5343770721738
49000.0,44216.78,476.1951056514486,60.41126565209875
48712.66,47446.84,132.30360668358765,913.2309841449751
48791.0,47700.0,-503.55867276154856,892.5768892944036
48800.0,44216.78,-429.1471115714666,177.19359480391705
48965.82,44216.78,-6.508260171357051,-298.55215701894736
47766.0,44408.86,-1098.0557427902772,-76.7204267575346
47723.3,44216.78,-2439.67989157384,421.6731095326818
47781.8,47617.87,-877.7499005941709,527.7093120649812
49000.0,43975.63,4471.22591625409,87.94903790625379
49000.0,44459.36,7758.163457079299,-405.21170807987204
49000.0,44401.09,4038.9126603922023,-480.94896455030585
49000.0,43975.63,-2753.363434377978,-202.96326516993895
48400.0,43907.3,-6036.479044999685,-45.01090278552326
47927.4,47721.32,-5179.110362055623,-288.54878059845987
48400.0,41343.3,-6075.425387625498,-673.2492854194786
49000.0,41343.3,-7421.901313029785,-576.3244290957914
49000.0,47918.0,-1877.5833406974366,-35.35601118344695
50000.0,48047.6,10090.58640040006,324.7366545718618
150000.0,41343.3,17109.576408984383,261.8887176306874
47990.67,40213.66,10253.582023753763,157.18812555401198
47607.23,47206.73,-1797.3132223095845,243.1128934065673
47758.86,47500.99,-7899.579609777687,247.0778601650631
47949.85,47532.49,-7868.350955092564,76.27872515492982
47952.05,47788.35,-8331.073758020553,42.57673927250299
48099.52,47860.97,-8688.366744438688,367.74174456581346
48051.69,47896.36,-1857.321417618316,659.6215784211586
47970.16,47814.0,9014.23588472882,275.99206431732745
69000.0,36902.9,13511.569106737803,-776.5174217151196
57826.58,42270.2,7265.391720337831,-1579.7641672923778
57826.58,42270.2,-1591.1392656024802,-1426.3431546405413
54200.0,42130.38,-5385.529929902083,-353.06551294968096
48088.56,47816.9,-6240.614129677847,679.9867524285369
48440.42,47817.84,-6632.013165333926,545.8245820796249
48104.68,47894.39,-4576.511393374754,-691.6308591802344
55294.94,43975.63,2201.962071714767,-1727.6657642533553
100000.0,44216.78,8503.958665443173,-1211.0645564830886
57826.58,47700.0,7908.423240943574,574.9680589808474
54282.28,48197.57,2364.589392686812,1884.9748241769832
48950.47,48725.01,-2280.81189525894,1474.058682878508
48870.01,44918.45,-3439.589131561507,-62.30897248269033
48452.31,44918.45,-3799.373490593265,-971.1512675323853
48777.02,47446.84,-4046.014894662526,-317.8038675766819
48314.93,47869.51,-2121.8368678534334,1187.5914382179685
48280.72,47857.96,1582.3570655273177,2082.7250771793197
48171.56,47500.0,3871.456830438036,1563.7486817178706
47879.96,47581.53,2665.0060694301233,157.38265595947442
47776.23,47193.67,161.23496996227743,-845.4357061845294
48044.63,44918.45,-891.4779158265851,-548.3361660097179
47868.91,47718.71,-606.8124726068901,720.5302069270926
47812.84,47554.38,-251.737966910748,1574.0869226127797
47845.12,47487.18,-234.47260041589004,1041.7993979267883
47937.45,46538.8,184.04716187254942,-460.23462966131416
47753.62,43907.3,580.6019841950559,-1560.9521147863522
47760.0,47493.01,303.8358203617162,-1241.8406730432741
47678.62,47365.75,-314.68277961189887,33.07388894545724
47815.15,47450.01,-619.4273977608725,897.506466037853
48103.99,47686.73,-574.8152620517203,362.4873072027328
48477.61,44000.0,-953.0120571446954,-1223.5289807569375
48052.87,43907.3,-1142.7746416565665,-2376.66654653781
50000.0,43907.3,-89.81676447555645,-1983.9894473091913
51244.3,43499.4,1901.4429277102122,-431.90709591798156
57826.58,48000.0,2822.876815673044,840.376979264701
49832.09,48893.44,1481.3866519511048,679.8353651744137
49788.71,47000.0,-548.0881061232501,-571.581467649262
52510.13,42473.32,-1496.6665804267188,-1526.5989440503236
49040.9,48694.71,-1472.6078576443374,-1049.7221021605917
49440.79,48900.24,-1779.8413037407738,481.41751342224734
49777.39,49046.76,-1953.2199866363953,1887.897265503449
49595.98,49169.04,-313.04562111859417,2148.623532095161
49374.01,49051.55,2365.389289312712,1154.7286786440964
69586.94,43907.3,3441.8882300386103,-35.253419934128765
49346.81,49027.02,1592.4496728571191,-224.9850002284719
49407.86,49138.79,-784.4102804884233,712.1833609610983
49470.0,49257.0,-1557.3743865249846,2006.9875494813602
49645.55,49251.84,-1590.2208277145248,2513.1621333867943
49949.99,49386.74,-1885.7529187400703,1634.8562963584095
50296.23,49561.52,-1440.0709665386682,-11.385761511655197
51677.0,49130.0,1250.713783067264,-1142.3051912275228
50140.75,37752.5,3943.40978179541,-870.1876531410276
50090.0,49705.01,3386.0250316096867,450.53330621998816
50302.78,49559.25,236.2356725805978,1086.7660186829125
50355.73,49600.01,-2149.3283037798383,44.36765915228558
50231.65,37752.5,-2336.5776134471876,-1799.9333244383092
50109.06,49647.13,-2638.4231578065032,-2584.962698045049
50199.04,37752.5,-3287.2929122988994,-1787.3350480622203
50737.97,49680.03,-1742.446951356906,-239.43597494855305
51411.0,50500.0,2508.193676957349,334.0544232163177
90000.0,37752.5,5687.816036462713,-420.86066199945947
57826.58,51253.21,4047.5408674427326,-1162.002146480863
53230.0,45927.85,71.95016077775358,-879.9790179504432
57826.58,37752.5,-2165.915889522312,505.27962251111603
51600.0,51201.66,-1901.625297191801,1937.3004642174528
57826.58,45097.56,-1495.405411306281,2106.968365788982
51589.51,42599.03,-1679.3113768384214,1265.6482806226948
51600.02,51300.0,-547.5923056762169,658.4553781258293
51582.0,51238.04,1659.5953127711125,910.6945758699279
51826.0,51198.71,2758.9851054442133,1592.7527171265215
51713.31,51453.3,1173.1722673663692,1597.0810349369563
51562.15,51207.33,-1396.5945486165183,438.3372283803708
51497.42,41370.89,-2573.408588290193,-1130.787012896928
50817.64,40932.69,-2038.3051525473406,-2099.80089450155
57826.58,42599.03,-530.7330522597572,-2380.6271174626777
55548.1,40782.46,858.4181762666753,-2591.6616316343916
69999.99,40782.46,1914.8920557171448,-3018.9510647952857
61873.42,40782.46,2154.400030845678,-3447.3478530523653
61873.42,40782.46,1589.4207509307032,-3449.0684190611914
62126.58,40782.46,545.6655078489704,-3039.3147808890253
58343.44,40782.46,-685.1083964045994,-2550.5868412918267
58343.44,40782.46,-1554.7461249058877,-2134.778911657754
55097.99,45000.0,-1818.2817783210555,-1684.0691329612864
57569.62,54514.47,-1176.7355317145702,-918.4314310136409
55367.05,50499.4,-171.65843300937559,290.1107139045278
55263.14,54884.11,545.4322665451172,1643.5504431238408
55251.3,54899.01,731.4892863431008,2338.844772570257
55741.36,55119.09,612.5004405382747,1997.5022016763392
55701.12,45000.0,591.3503246056184,1171.6327367636877
54905.67,47189.87,305.6868605075429,965.6516978530599
55219.92,54685.51,-232.9782456164682,1752.4080754836148
55215.59,54260.57,-657.1515847729786,2781.189846210418
55226.09,54762.46,-399.8794631710198,3032.673315735952
55073.16,54531.65,122.1806515619719,2060.5138710863066
54962.0,54302.58,-222.62161541677995,413.34055665682786
54871.21,51217.36,-859.8651813460622,-725.7615350808736
54781.61,46177.22,-231.1953084413268,-443.5722338539132
54541.05,51746.84,2039.5274886012498,912.7810816600197
54427.8,53726.32,3229.8471483251706,1816.16978402301
54360.24,53415.89,1280.8288689050928,1215.2058609050591
54353.69,53600.0,-1237.392607821323,-386.5200212675748
54689.82,53772.16,-2249.409736416835,-1523.4490113506263
54674.46,53415.89,-2299.2908319241023,-1135.1611457751583
58343.44,53659.0,-3553.511370992699,503.2787984519175
54300.03,53415.89,-3827.7028421087316,1902.9193018584429
54306.02,54017.96,-331.9777351564227,1722.408707762017
60000.0,53829.55,3543.557968513852,25.954985628793708
100000.0,42599.03,4126.560580282077,-1574.8694619347248
54615.04,53834.52,2537.012688662012,-1232.9297524248327
54500.0,53997.8,4640.340862603127,784.5129421815118
54804.0,53765.05,7225.391692072722,2534.859158816755
53953.39,53607.28,2902.6591262584207,2274.1811478096183
54215.22,53715.01,-6142.059724488173,227.9519967054242
54394.94,54051.58,-10811.221573604096,-1639.0411561892195
54418.01,53727.05,-7741.9347716769935,-1547.7144572117227
54847.54,51217.36,-6229.842302239309,366.750583061218
53967.32,53772.59,-7234.856514583254,2076.7899402952917
54172.97,53567.1,-1392.0638795425439,1675.3755678693988
54260.0,54000.0,13596.939531646332,-673.6170291214355
200000.0,42599.03,23315.949770405983,-2771.048876446407
56078.87,42599.03,13847.645498409243,-2551.975359780951
55900.0,54891.07,-3492.9376692320147,-507.2380352173993
55570.01,55182.17,-12251.230549667966,1109.45828616798
55900.0,51217.36,-10368.243315944583,955.8451621350251
55296.97,54071.66,-8846.337353204779,-380.1127132160298
55900.0,42599.03,-9288.64463934042,-1491.6156772048462
55900.0,53415.89,-2665.3808461917097,-1408.4374184881306
55900.0,51217.36,9166.525225795978,-562.6554618659743
95000.0,51217.36,14805.802224269002,420.4971548973109
54890.57,53415.89,7405.637893707692,1058.3168864418553
55098.17,53415.89,-3057.701015189244,1085.425165417865
59000.0,53415.89,-6552.254791374427,488.4896234443264
55230.72,53415.89,-4259.344297987606,-543.1135133899263
59593.37,51217.36,-1372.7616152131422,-1340.6132749652988
60000.0,42599.03,23.861518299486903,-964.3585493265796
80000.0,53415.89,2074.2812502316483,659.8774166411318
54420.54,53415.89,3040.7132235943777,1885.2435432886539
55500.0,53849.99,1712.5720783717545,1285.0838817668098
54189.88,53842.66,-716.6448184814226,-608.696080721121
58000.0,40782.46,-2112.7968767405964,-1643.61098449771
57578.96,53415.89,-2003.230476704594,-342.04163844517063
55462.76,51217.36,-1488.5719130246232,1841.4193954155535
56100.0,53415.89,-233.2626037220319,2557.3366301858173
55447.64,53415.89,1299.539510368521,1142.499407667095
61995.0,51217.36,2017.1926762075054,-701.5363096717394
60144.97,53415.89,1227.4074960493094,-960.77929565124
54983.95,53415.89,-192.12918778800474,411.3367963685804
55314.98,53415.89,-1771.8644516157062,1443.9427949079266
55163.26,53415.89,-2524.7874419343952,483.99111380519037
55557.91,53415.89,-945.6292315915535,-1805.364314361053
55720.43,42599.03,3060.3401647748597,-3026.7364948613235
55354.28,42599.03,5743.351745296899,-1818.88091413766
55369.32,53365.89,3357.746172828959,135.40242476274864
55398.26,51217.36,-1559.7447641591598,125.48237318513932
55592.7,40782.46,-4321.580049947186,-1947.5053843771739
55525.58,40782.46,-4116.792838549838,-3380.422898388445
55127.39,53415.89,-5029.705017988743,-2243.0766510525345
54853.76,54554.68,-6038.731254505345,493.4024959683313
55346.07,54500.0,-1626.3879444789818,2348.035718288089
55571.76,54357.8,7781.3885827700315,1907.2488424949775
142966.69,53978.62,13778.65707116517,76.64483625229687
54951.01,54383.67,8363.868587689945,-1080.7572639611294
54753.54,53415.89,-2026.63841237318,-272.35144890828315
55154.05,53415.89,-7476.867208801334,1828.4074688366868
55954.78,53415.89,-5695.019119148783,3151.269842711268
56044.16,53415.89,-3444.47454586374,2292.0930872976787
56134.23,51217.36,-5256.397554297973,-44.276650610970385
60157.22,42900.0,-5039.929146281658,-1824.92453268825
58010.79,53415.89,1447.1277665243615,-1554.2957469709468
56409.11,53415.89,10634.293541182451,124.86529491540652
65144.93,53415.89,11996.838707021074,1516.571894146242
61956.52,54529.01,3657.2049008315225,1304.8340990351037
55486.1,53415.89,-4551.398108499855,-450.1390959892194
55350.75,53415.89,-5874.067882781004,-2271.124293086772
77036.33,40782.46,-3447.27383960974,-2469.326716719153
55526.55,51217.36,-5965.322474893224,-658.8572489603525
55499.0,53415.89,-9474.456545764235,1433.506474544563
55490.73,54996.17,-4280.883154778136,1908.1390041261054
55362.91,53415.89,8845.560114999043,529.5473773256589
166096.12,55224.51,16957.60428337821,-1166.1001973034913
56712.03,53415.89,10357.898881284014,-1587.855122044864
63338.46,53415.89,-1410.0282631776545,-351.201830923091
54947.63,53415.89,-6980.652206751042,1461.8021510099986
54945.0,53415.89,-5605.5026225175825,2438.671430665996
55165.45,54419.07,-4905.499975080699,1841.1707511526693
55621.94,39729.29,-6379.991727727317,150.8128282238638
55799.95,55292.7,-3720.3045949806524,-1126.818121623085
59228.14,55008.88,3296.890487530419,-943.2608029477876
56771.5,53415.89,8334.109928596008,932.273978340268
57199.0,56142.87,5814.17807765346,3169.7017457297716
56760.63,54680.79,-414.7310991608135,3569.0858530057017
57030.0,56560.01,-3266.0869980457787,1232.2007039126888
56866.08,53415.89,-1391.6337334982911,-2162.1228343948305
56740.72,42599.03,1321.8662344830948,-3444.5618538528734
68534.45,53415.89,533.4989876803627,-1036.145538849902
57596.0,53415.89,-1990.1980779695425,2688.0583216640794
56538.38,56000.65,-2322.7947511613197,3654.4500489863703
57424.37,56150.0,173.14437758832264,188.35856306616222
73175.0,39729.29,1713.5024094245864,-4812.3935563067425
64782.01,42599.03,3.3763013944801514,-6213.245192440716
57767.19,39729.29,-1495.3020098372372,-2268.135602835558
57886.84,57169.14,97.49919275236874,3332.675984806143
80921.57,57300.01,2272.7050378316317,4698.302737485387
60000.0,51217.36,798.4677121294854,341.0582975875886
57503.35,40782.46,-2171.5866286368996,-5092.532983830279
57399.99,53415.89,-1220.3704896417707,-5709.521296341218
60298.0,53415.89,3189.29010681115,-794.3726740256056
59900.0,57075.02,4466.001531496318,4697.872810257716
57470.01,51217.36,357.23683989285985,5282.1923255751535
57500.01,51217.36,-3699.075177742245,543.0350806702379
57148.8,51217.36,-3569.6274834213377,-4810.226996031843
56779.59,39729.29,-2151.957491322647,-5633.757448784851
57037.36,51217.36,-3004.4061253146874,-1257.38618157915
57644.25,56590.0,-3050.3589431735613,3582.0194364188915
57640.44,57063.02,1689.7539501732576,3964.1491225156847
91807.49,53415.89,7877.561717566428,-338.2458894548025
90850.19,39729.29,8242.566858467748,-4822.510176230113
57505.87,39729.29,2097.665164938249,-5026.271959547818
57432.36,53415.89,-3627.900203721913,-1171.082676691699
57382.42,57036.45,-4549.270810145168,2665.211971475559
57284.95,56753.0,-3075.3841399184485,3155.492842903658
62500.0,56789.68,-2663.167222367207,649.5102938326899
57133.03,56094.0,-2257.5794065348277,-1919.1047484030705
56622.16,53415.89,407.60350545932283,-2023.8945790265775
57034.46,53013.8,3550.3880715605296,203.40179952729136
57054.37,51548.8,3761.0348889613374,2500.52542913185
57038.46,55556.34,972.1342740561033,2936.7357804459843
55875.65,55228.51,-1378.4803664741796,1599.8514414975923
55593.55,54113.44,-1337.3474942932912,311.2025740035433
56076.82,55097.6,-234.956317136719,446.6815755021366
56403.47,56037.81,94.9274553676837,1534.0957186641708
56566.67,55942.72,-319.26887840273184,2175.897877147416
56513.01,55825.39,-367.4738319594863,1811.6714963308432
56570.22,56157.7,411.6430451121917,1048.882881808891
56432.0,56207.39,792.2406869863337,715.6085319634913
56463.38,56239.26,145.59991901441336,881.722871713559
56364.97,56042.3,-828.1699938258057,840.0792601262922
56199.38,54993.3,-761.0673326928883,105.63889814483166
55518.84,54390.6,-7.2785905779776385,-1006.3387871467437
55470.08,51548.8,-654.9770796173544,-1726.3137891932297
55350.0,51217.36,-1910.7052832877973,-1590.3569784963763
54947.14,54254.11,-818.7669347147539,-1048.9259526861335
55142.45,51217.36,3758.5763344976244,-1066.8513707644051
56380.71,45678.0,6750.551930391238,-1894.6950472679869
55340.04,54547.12,3548.8815044240264,-2788.1427025449575
55259.05,42599.03,-2429.24879733454,-2897.227487850454
55859.3,52221.7,-5274.985905393911,-1802.6782464253035
56436.72,55710.31,-4356.980837539459,-414.95521676322903
57210.01,56000.0,-4933.523845709795,223.68599630487844
57235.83,56780.01,-6132.114068771354,-9.619491632178253
57177.34,55874.33,-1732.5889671514628,-384.19297479166426
57472.08,56777.35,8081.316806483235,-134.04381613787857
150000.0,55580.7,13884.135049799579,733.1762885808607
57714.08,56903.43,8166.434121019679,1573.7253842386958
59000.0,56590.54,-1818.2543459082194,1797.1545945818764
57489.59,55497.12,-6445.0363618563515,1497.7166093678954
57686.62,57083.75,-5147.641157982409,1117.7082647733607
58461.34,57631.25,-4220.830094257697,985.38129297096
58505.77,57205.74,-4984.692411957315,1078.941826840424
58257.47,57106.0,-2348.350502003052,1154.4117054457545
58238.7,55418.68,3413.6687927404696,1028.175762675498
58105.05,57800.46,6688.606497772124,732.8740784701768
58210.71,55329.96,3855.012561396939,367.59935117394053
58274.1,55162.8,-782.3555362651398,92.09088476745656
57696.48,55162.8,-2018.9719614853004,-40.60211993252844
58272.64,57182.12,-671.3939013386155,-153.95830201829529
58607.09,55162.8,221.95605334966422,-299.2244546936954
58602.77,57376.0,-514.379688888607,-464.11297699910466
57909.99,57371.21,-854.9517386582893,-665.6045006803179
57754.0,54605.6,-231.38352030755468,-849.7258813869811
58643.21,54605.6,264.8290540606452,-929.1656241703828
58640.29,54605.6,102.20960593202994,-955.2486633972587
57541.5,50870.0,-206.99693802856805,-1016.8895483310602
57541.5,56758.81,238.0948207572134,-1088.1484576927573
58040.61,50350.0,733.1777289305194,-1126.0061680999897
58029.35,57081.0,634.3046290313907,-891.0627666583599
57861.22,57360.0,39.1057524231463,-505.95880930468803
57740.0,57427.63,342.7471470634252,-186.39689566468672
57745.0,57325.92,350.6443751763074,-64.29676248493325
57644.02,57220.03,-1110.9666723455655,-86.68306919992007
57469.1,56991.01,-2983.2801516642794,-80.1385279351068
57303.1,56870.0,-2135.0211287677585,82.19072311645081
59422.8,57095.83,760.5178817977494,354.88342899470257
67413.1,58674.53,-163.4670571412862,581.9089791840927
59706.07,58434.38,-3769.5438594597917,610.9047618241759
60557.44,59159.23,-2008.6856952074327,428.5776674484037
59734.94,59103.0,9140.122569592691,177.57068154803147
59679.97,58382.07,17308.099672966055,43.70696052426697
59477.17,58253.86,9677.683285411815,76.56894543151043
59831.24,58744.1,-5971.4173082302805,154.79444120133982
59882.84,58874.65,-13878.436919806778,130.54707140564588
60003.83,58253.86,-11706.85856047107,-35.64616109346365
60003.83,58094.11,-13090.70382879598,-241.6658378916368
60343.39,59224.44,-16733.444390777462,-327.6442943854338
60261.0,58122.95,-6051.465873765021,-253.24819281057952
60106.45,59550.0,19865.49080148816,-36.874324600558644
297294.0,59870.0,36707.643291656525,159.37275966072593
79999.0,60482.78,23461.61605852511,230.31581544554692
62312.0,60610.0,-2775.7221460998944,202.6286974690031
62081.35,60831.26,-16114.482124351593,191.69780664842114
63986.0,60482.78,-13639.617433878435,270.55618948924496
62560.83,60813.52,-11341.621927677059,423.2980809486972
61540.52,61217.03,-13488.656993000746,555.2493171472596
61707.12,59836.38,-7199.859966964867,612.8870605561315
61770.0,61206.14,7750.250142135571,639.8896974342888
61551.67,61200.01,16901.754452365567,646.880853410154
61715.73,61124.82,10194.702486904596,617.1496956372163
61765.73,61360.23,-1919.7716389907882,568.6936266271716
62157.36,61550.0,-5359.0737830440885,549.0894883751259
62557.0,61550.0,-1231.0623603364004,578.7275783068515
63143.75,60850.0,2108.9846619898162,585.5105705212677
71000.0,60710.0,442.3361542245957,470.17885116797356
62056.31,60990.0,-1654.4488837344245,232.83252434977368
64000.0,59654.69,-1494.253405334806,6.025089093690447
61680.01,60910.0,-586.3471265510444,-73.94952321667559
61754.45,60840.0,-667.695990084121,-55.30725705493927
63579.66,60500.0,-1446.1726132821634,-47.46369784378133
61195.16,60521.01,-792.983214815622,-144.53500053869982
63579.66,59531.24,926.359629123456,-359.1344286133936
74500.0,60169.21,2320.5747852703216,-549.0881320943731
62463.33,57943.83,1978.948558706456,-577.3951439956065
61749.09,57729.1,448.81731849141676,-404.4603314109032
62500.0,60482.78,-763.1857941949735,-207.58293439356402
61085.64,60482.78,-943.4591553188432,-202.89656029166144
61056.93,57526.97,-0.013263995647548654,-311.9120860908507
61286.13,60671.38,141.49626647385008,-278.06058695116036
60938.75,60501.0,-883.894525903224,-98.8269383190954
61086.33,60701.1,-1928.8618590729534,53.83695006796005
61157.92,60482.78,-912.6467787624216,86.41143228708034
61400.0,60100.0,739.1506186967276,64.25748724572964
65000.0,60550.0,-1577.5381450652171,68.897181228921
61357.95,61044.45,-5031.888911081087,90.08393577453117
61248.45,60900.01,-2001.7758285081954,103.69108513028216
67154.27,57124.85,9943.90697646087,169.62978929882755
60828.42,60569.97,17540.07246739628,309.80741833546085
66737.32,60238.79,9249.20227758304,283.9624056055701
63053.73,56837.11,-6158.839947100399,107.92523310367393
61637.23,60422.46,-13569.31534986228,167.48986679928325
63000.0,60482.78,-11430.796824423745,569.1655874233896
62500.0,60860.0,-13146.95416389789,984.1170638290756
62135.58,60670.0,-16208.482445128677,906.6928593354835
61270.01,60648.86,-4731.677122237755,269.21376464229047
61075.78,60756.99,20768.088024482015,-296.7465484709861
300000.0,60482.78,35934.95528779102,-87.79021728059348
60999.52,60660.65,21330.105069660665,873.8588563232258
61076.5,56679.76,-4539.139913585515,1610.8047972801958
61080.12,60770.0,-16721.493907810443,1059.7120342653068
60994.32,60265.5,-13223.224936413699,-752.1107174216369
60519.49,56738.76,-10203.291897146799,-2079.264760822839
60690.0,56512.99,-11786.854542297573,-1260.5297177856146
64731.0,55733.53,-5518.438203522129,1052.8954733644491
62049.06,61034.48,8430.8886950084,2248.1823101536224
62831.9,60730.0,16032.306779650184,515.4787718838556
64500.0,51217.36,8098.652875709107,-2608.20721631033
68000.0,51217.36,-4117.4745919168745,-3693.051933232946
62271.31,61883.55,-6299.547173404546,-1364.8276382819204
62418.0,62001.01,-539.0724333837838,1954.6330996907905
79500.0,62135.0,3167.6646555001394,2743.718098294519
77830.5,62135.0,753.8628954468364,44.7565374321255
70000.0,51217.36,-1304.750457294515,-3291.331580814188
65000.0,51217.36,725.6871392223941,-3524.9959551342736
65000.0,51217.36,2482.634477265519,-374.7688250468465
61516.7,60661.13,222.48437856023162,2821.838899171052
61706.27,60711.02,-3356.634195902345,2664.1308579568517
61500.0,58720.89,-3012.216585242214,-391.484030273759
78855.11,51217.36,-311.22096237060305,-2793.5250539929034
62451.5,61210.91,-867.3454360316766,-1862.8021675730124
62170.59,60920.0,-3633.882792797593,1072.0835830885417
62365.77,60830.0,-2384.0114484335954,2735.7594157245303
62086.95,60810.0,4428.733059989374,1506.6289753991964
120000.0,52299.08,9231.503725685641,-1076.028242314184
61863.05,60841.0,5493.720053385189,-2173.010078329877
73731.05,51217.36,-1145.2627889596129,-1104.2516270846338
65000.0,61090.0,-3732.0704484395446,664.4803363295437
70000.0,61583.16,-2676.1768583022417,1078.4368817859431
64000.0,51217.36,-3856.926503511682,-55.581010720627376
63705.3,51217.36,-6265.512849288189,-1280.86907128274
63755.89,61262.02,-3462.7026734617034,-1506.6978463582136
61923.85,60580.0,3944.597873903089,-884.6996717059607
99000.0,52708.36,8929.006058109244,13.47712845558135
62812.52,62135.48,5801.037881407799,540.648761668819
62557.96,62299.48,-583.5451631161854,387.1423424209152
63245.67,61392.5,-3262.850393695201,-55.606587917218306
62365.4,52708.36,-2346.3816209530246,-356.86133233149314
62381.36,61765.07,-2186.3550919784525,-151.68657489979643
62483.09,57049.05,-3696.20170152446,406.2398147839967
62399.29,54094.06,-2388.537488100189,1068.3376429250313
62300.0,62071.32,1926.4587678058351,1470.226356943141
62485.85,61869.8,4855.146063632867,1217.5747100673525
63266.85,62070.0,3195.734922670659,346.3976817046429
63455.62,54208.6,-458.1906066320853,-478.37046144249774
62768.23,60950.0,-1692.7277685677673,-194.66284039732517
63094.11,62315.71,-883.2911981397085,914.082996857066
63468.14,62201.55,-169.17361804806956,1638.4418629504535
63608.0,59200.0,-681.1830837577041,829.4630317035309
68000.0,52708.36,-813.0062639457751,-1046.9998281675046
65787.99,60520.0,-63.11725364273741,-2127.1409336953916
65800.0,51217.36,981.0356387279919,-1797.271964779012
